SetID,State,Monthly Net Income,Paycheck Net Income,Rent or Own,Months at Residence,Bank Account Months,Pay Cycle,Loan Amount,Loan Funded Date,Loan Due Date,Duration,FPD,FPDEF
436,CA,"$2,000.00 ","$2,000.00 ",R,12,6,Monthly,$300.00 ,3/28/2018,4/11/2018,14,FALSE,0
615,TX,"$3,500.00 ","$3,500.00 ",R,60,60,Monthly,$641.91 ,3/23/2018,4/6/2018,14,FALSE,0
1251,CA,"$3,000.00 ","$3,000.00 ",R,0,6,Monthly,$117.65 ,2/28/2018,3/30/2018,30,TRUE,1
440,CA,"$1,500.00 ","$1,500.00 ",R,12,6,Monthly,$117.65 ,3/28/2018,4/28/2018,31,FALSE,0
1692,CA,"$2,392.00 ",$598.00 ,R,130,36,Weekly,$300.00 ,2/13/2018,2/23/2018,10,FALSE,0
804,TX,"$5,000.00 ","$2,500.00 ",R,12,12,BiWeekly,$385.06 ,3/19/2018,3/30/2018,11,FALSE,0
294,CA,"$6,000.00 ","$3,000.00 ",R,36,12,BiWeekly,$235.30 ,4/4/2018,4/13/2018,9,TRUE,1
697,CA,"$2,864.00 ","$1,432.00 ",R,37,36,BiMonthly,$117.65 ,3/21/2018,3/30/2018,9,FALSE,0
713,CA,"$4,000.00 ","$2,000.00 ",R,60,60,BiWeekly,$117.65 ,3/20/2018,4/4/2018,15,TRUE,1
508,TX,"$2,800.00 ","$1,400.00 ",R,24,15,BiWeekly,$641.35 ,3/27/2018,4/6/2018,10,TRUE,1
1275,CA,"$10,000.00 ","$2,500.00 ",R,12,6,Weekly,$117.65 ,2/27/2018,3/7/2018,8,TRUE,1
1375,CA,"$4,200.00 ","$4,200.00 ",R,41,36,Monthly,$300.00 ,2/24/2018,3/26/2018,30,TRUE,1
109,CA,"$1,000.00 ","$1,000.00 ",O,12,6,Monthly,$117.65 ,4/7/2018,5/1/2018,24,FALSE,0
229,CA,"$1,900.00 ","$1,900.00 ",O,396,30,Monthly,$300.00 ,4/4/2018,5/4/2018,30,FALSE,0
66,CA,"$4,500.00 ","$2,250.00 ",R,60,12,BiWeekly,$235.30 ,4/8/2018,4/20/2018,12,FALSE,0
,TX,"$3,625.00 ","$3,625.00 ",R,60,60,Monthly,$642.32 ,2/12/2018,3/1/2018,17,FALSE,0
376,CA,"$3,000.00 ","$3,000.00 ",R,60,36,Monthly,$235.30 ,4/3/2018,4/30/2018,27,TRUE,1
1136,CA,"$7,000.00 ","$3,500.00 ",O,24,6,BiWeekly,$117.65 ,3/6/2018,3/23/2018,17,FALSE,0
706,TX,"$5,000.00 ","$2,500.00 ",R,120,30,BiMonthly,$641.36 ,3/20/2018,3/30/2018,10,TRUE,1
285,CA,"$6,500.00 ","$3,250.00 ",R,48,9,BiWeekly,$235.30 ,4/4/2018,4/13/2018,9,TRUE,1
1148,CA,"$3,000.00 ","$3,000.00 ",R,0,6,Monthly,$117.65 ,3/4/2018,3/16/2018,12,FALSE,0
956,CA,"$3,500.00 ","$3,500.00 ",R,84,6,Monthly,$117.65 ,3/12/2018,4/2/2018,21,TRUE,1
